iter	Passed	Remaining
856	3059	510
857	3062	506
858	3065	503
859	3068	499
860	3072	495
861	3075	492
862	3078	488
863	3081	485
864	3085	481
865	3088	477
866	3091	474
867	3094	470
868	3097	466
869	3100	463
870	3104	459
871	3107	456
872	3110	452
873	3113	448
874	3116	445
875	3120	441
876	3123	438
877	3126	434
878	3129	430
879	3133	427
880	3136	423
881	3140	420
882	3143	416
883	3146	412
884	3149	409
885	3152	405
886	3155	402
887	3158	398
888	3161	394
889	3165	391
890	3168	387
891	3171	384
892	3175	380
893	3178	376
894	3181	373
895	3185	369
896	3188	366
897	3191	362
898	3195	359
899	3198	355
900	3201	351
901	3205	348
902	3208	344
903	3211	341
904	3215	337
905	3218	333
906	3221	330
907	3225	326
908	3228	323
909	3231	319
910	3235	316
911	3238	312
912	3241	308
913	3245	305
914	3248	301
915	3251	298
916	3254	294
917	3258	291
918	3261	287
919	3265	283
920	3268	280
921	3271	276
922	3275	273
923	3278	269
924	3281	266
925	3284	262
926	3287	258
927	3290	255
928	3294	251
929	3297	248
930	3300	244
931	3303	241
932	3306	237
933	3309	233
934	3312	230
935	3316	226
936	3319	223
937	3322	219
938	3325	216
939	3328	212
940	3332	208
941	3335	205
942	3338	201
943	3341	198
944	3344	194
945	3347	191
946	3351	187
947	3354	183
948	3357	180
949	3360	176
950	3363	173
951	3366	169
952	3369	166
953	3373	162
954	3376	159
955	3379	155
956	3382	151
957	3385	148
958	3388	144
959	3391	141
960	3394	137
961	3398	134
962	3401	130
963	3404	127
964	3407	123
965	3410	120
966	3413	116
967	3416	112
968	3419	109
969	3422	105
970	3426	102
971	3429	98
972	3432	95
973	3435	91
974	3438	88
975	3442	84
976	3445	81
977	3448	77
978	3452	74
979	3455	70
980	3458	66
981	3461	63
982	3464	59
983	3467	56
984	3471	52
985	3474	49
986	3477	45
987	3480	42
988	3483	38
989	3486	35
990	3489	31
991	3492	28
992	3496	24
993	3499	21
994	3502	17
995	3506	14
996	3509	10
997	3512	7
998	3515	3
999	3518	0
